repo_name,test_func,main_api,sec_op,var_type
kernel,snd_byt_rt5651_mc_probe,acpi_dev_get_first_match_dev,acpi_dev_put,retval
kernel,drm_mode_setcrtc,drm_crtc_find,drm_crtc_vblank_put,retval
kernel,get_l2cap_conn,hci_get_route,hci_dev_put,retval
kernel,j1939_xtp_rx_dat_one,j1939_session_skb_get_by_offset,kfree_skb,retval
kernel,mptsas_probe_one_phy,sas_port_alloc_num,sas_port_free,retval
kernel,chsc_async,chsc_get_next_subchannel,put_device,retval
kernel,__blkdev_direct_IO,bio_get,bio_put,arg0
kernel,prestera_bridge_port_join,prestera_bridge_create,prestera_bridge_put,retval
kernel,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,retval
kernel,hns_mac_register_phy,hns_dsaf_find_platform_device,put_device,retval
kernel,ti_sci_scan_clocks_from_dt,of_find_node_with_property,of_node_put,retval
kernel,dw_mipi_dsi_rockchip_host_attach,dw_mipi_dsi_rockchip_find_second,put_device,retval
kernel,fme_bridge_enable_set,dfl_fpga_port_ops_get,dfl_fpga_port_ops_put,retval
kernel,tipc_crypto_rcv,tipc_aead_get,tipc_aead_put,retval
kernel,nvram_init,get_mtd_device_nm,put_mtd_device,retval
kernel,drbd_adm_dump_devices,drbd_find_resource,kref_put,retval
kernel,nvmem_register,gpiod_get_optional,gpiod_put,retval
kernel,hisi_inno_phy_probe,of_reset_control_get_exclusive,reset_control_put,retval
kernel,spm_cpuidle_register,of_cpu_device_node_get,of_node_put,retval
kernel,parse_perf_domain,of_cpu_device_node_get,of_node_put,retval
kernel,g5_cpufreq_init,of_cpu_device_node_get,of_node_put,retval
kernel,clcdfb_of_init_display,of_graph_get_next_endpoint,of_node_put,retval
kernel,of_get_coresight_platform_data,of_graph_get_next_endpoint,of_node_put,retval
kernel,highbank_l2_err_probe,edac_device_alloc_ctl_info,edac_device_free_ctl_info,retval
kernel,mlx5e_tc_add_fdb_flow,mlx5e_tc_int_port_get,mlx5e_tc_int_port_put,arg0
kernel,ghes_edac_register,edac_mc_alloc,edac_mc_free,retval
kernel,agp_amdk7_probe,agp_alloc_bridge,agp_put_bridge,retval
kernel,highbank_mc_probe,edac_mc_alloc,edac_mc_free,retval
kernel,hi3670_pcie_get_resources_from_pcie,bus_find_device_by_of_node,put_device,retval
kernel,ap_scan_adapter,bus_find_device,put_device,retval
kernel,etnaviv_ioctl_gem_submit,sync_file_get_fence,dma_fence_put,retval
kernel,atafb_probe,atari_stram_alloc,atari_stram_free,retval
kernel,nd_region_probe,sysfs_get_dirent,sysfs_put,retval
kernel,am33xx_pm_probe,wkup_m3_ipc_get,wkup_m3_ipc_put,retval
kernel,mhi_pci_probe,pci_store_saved_state,kfree,retval
kernel,bcm_sf2_mdio_register,of_mdio_find_bus,put_device,retval
kernel,typec_register_port,typec_mux_get,typec_mux_put,retval
kernel,intel_overlay_put_image_ioctl,drm_crtc_find,drm_crtc_vblank_put,retval
kernel,lp8860_probe,of_get_next_available_child,of_node_put,arg0
kernel,drm_mode_gamma_set_ioctl,drm_crtc_find,drm_crtc_vblank_put,retval
kernel,mvebu_mbus_dt_init,of_find_matching_node_and_match,of_node_put,retval
kernel,drm_mode_gamma_get_ioctl,drm_crtc_find,drm_crtc_vblank_put,retval
kernel,r600_cs_common_vline_parse,drm_crtc_find,drm_crtc_vblank_put,retval
kernel,psci_dt_init,of_find_matching_node_and_match,of_node_put,retval
kernel,f_audio_set_alt,usb_ep_alloc_request,usb_ep_free_request,arg0
kernel,leon_init_timers,of_find_node_by_path,of_node_put,retval
kernel,p2wi_probe,of_get_next_available_child,of_node_put,retval
kernel,holly_init_IRQ,of_find_node_by_type,of_node_put,retval
kernel,mpc7448_hpc2_init_IRQ,of_find_node_by_type,of_node_put,retval
kernel,kfr2r09_serial_i2c_setup,i2c_get_adapter,i2c_put_adapter,retval
kernel,kfr2r09_usb0_gadget_i2c_setup,i2c_get_adapter,i2c_put_adapter,retval
kernel,vpif_probe,i2c_get_adapter,i2c_put_adapter,retval
kernel,am33xx_pm_rtc_setup,of_find_node_by_name,of_node_put,retval
kernel,map_prom_timers,of_find_node_by_path,of_node_put,retval
kernel,pmu_i2c_probe,of_find_node_by_name,of_node_put,retval
kernel,ls_uarts_init,of_find_node_by_path,of_node_put,retval
kernel,i82875p_setup_overfl_dev,pci_get_device,pci_dev_put,retval
kernel,integrator_ap_lm_probe,of_find_matching_node,of_node_put,retval
kernel,cci_probe,of_find_matching_node,of_node_put,retval
kernel,enetc_pf_register_with_ierb,of_find_compatible_node,of_node_put,retval
kernel,dove_init_pmu,of_find_compatible_node,of_node_put,retval
kernel,devfreq_add_device,dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval
kernel,fdp1_probe,rcar_fcp_get,rcar_fcp_put,retval
kernel,drbd_adm_prepare,drbd_find_resource,kref_put,retval
kernel,stm32_pctl_probe,of_reset_control_get_exclusive,reset_control_put,retval
kernel,ag71xx_mdio_probe,of_reset_control_get_exclusive,reset_control_put,retval
kernel,bebob_probe,fw_unit_get,fw_unit_put,retval
kernel,nfc_genl_vendor_cmd,nfc_get_device,nfc_put_device,retval
kernel,nfc_genl_se_io,nfc_get_device,nfc_put_device,retval
kernel,altera_ci_init,find_inode,iput,retval
kernel,altera_hw_filt_init,find_inode,iput,retval
kernel,pxa_udc_probe,usb_get_phy,usb_put_phy,retval
kernel,motu_probe,fw_unit_get,fw_unit_put,retval
kernel,efw_probe,fw_unit_get,fw_unit_put,retval
kernel,oxfw_probe,fw_unit_get,fw_unit_put,retval
kernel,usb_otg_start,usb_get_phy,usb_put_phy,retval
kernel,dice_probe,fw_unit_get,fw_unit_put,retval
kernel,snd_dg00x_probe,fw_unit_get,fw_unit_put,retval
kernel,snd_tscm_probe,fw_unit_get,fw_unit_put,retval
kernel,snd_ff_probe,fw_unit_get,fw_unit_put,retval
kernel,spi_byte_probe,of_get_next_available_child,of_node_put,retval
kernel,kfd_build_sysfs_node_entry,kobject_create_and_add,kobject_put,retval
kernel,of_syscon_icst_setup,of_get_parent,of_node_put,arg0
kernel,via_pmu_start,of_find_node_by_name,of_node_put,retval
kernel,fadump_init_files,kobject_create_and_add,kobject_put,retval
kernel,dmi_init,kobject_create_and_add,kobject_put,retval
kernel,rockchip_init_usb_uart,of_find_matching_node_and_match,of_node_put,retval
kernel,ls_extirq_parse_map,of_find_node_by_phandle,of_node_put,retval
kernel,rockchip_pinctrl_parse_groups,of_find_node_by_phandle,of_node_put,retval
kernel,partition_domain_translate,of_find_node_by_phandle,of_node_put,retval
kernel,tegra_nand_chips_init,of_get_next_child,of_node_put,retval
kernel,ltc294x_i2c_probe,of_node_get,of_node_put,retval
kernel,of_flash_probe_versatile,of_find_matching_node_and_match,of_node_put,retval
kernel,tipc_crypto_xmit,tipc_aead_get,tipc_aead_put,retval
kernel,cpuhp_dtpm_cpu_online,cpufreq_cpu_get,cpufreq_cpu_put,retval
kernel,map_interrupts,of_find_node_by_phandle,of_node_put,retval
kernel,tegra_init_fuse,of_find_matching_node_and_match,of_node_put
kernel,mc_pcie_init_irq_domains,of_get_next_child,of_node_put,retval
kernel,rockchip_grf_init,of_find_matching_node_and_match,of_node_put,retval
kernel,versatile_reboot_probe,of_find_matching_node_and_match,of_node_put,retval